Date,Open,High,Low,Close,Volume
2016-01-04,7.629168194997264,7.629168194997264,7.4964538974243276,7.619688034057617,14175200
2016-01-05,7.680356114973403,7.6898362744463125,7.4376790757471225,7.536266803741455,13778400
2016-01-06,7.454744461743934,7.650023651854841,7.3959707832441755,7.557124137878418,14918000
2016-01-07,7.428200601870763,7.511620664103642,7.327717262904486,7.403553485870361,12151200
2016-01-08,7.447160260255757,7.505933935906031,7.331509230588814,7.356156349182129,12025200
2016-01-11,7.394075166408691,7.4187222861358055,7.3011749294279245,7.373219966888428,17151600
2016-01-12,7.4149314338739805,7.4964559219758655,7.3599496678080705,7.475600719451904,11720800
2016-01-13,7.488870944325985,7.540060781872848,7.325821992858531,7.35046911239624,17491600
2016-01-14,7.392181859884971,7.498352765655996,7.204485729241827,7.4414753913879395,22996000
2016-01-15,6.65656394825408,7.3428856219597165,6.654667626457446,7.141918182373047,59414800
2016-01-19,7.213961446814242,7.287902067513773,6.893551849371384,6.97128438949585,23943200
2016-01-20,6.8916570749360435,6.988349233888608,6.669835163047527,6.925783634185791,18568400
2016-01-21,6.952323620460283,7.08314228724785,6.844256466387241,7.041431903839111,16076800
2016-01-22,7.153293781427386,7.225338820135683,7.020579464828366,7.2006916999816895,14905600
2016-01-25,7.170356036156415,7.217753947935997,6.969388629846481,6.980764389038086,13492800
2016-01-26,7.071770021099705,7.248090353868537,7.043331701022906,7.208276271820068,17363600
2016-01-27,7.191076510544834,7.4184847201969575,7.131835385632973,7.269427299499512,14519600
2016-01-28,7.2847149051974185,7.529322833750145,7.257961083868282,7.517856597900391,16220400
2016-01-29,7.544608299437968,7.750996112823485,7.506388252997677,7.750996112823486,15728800
2016-02-01,7.630606454063823,7.768198387939139,7.548433574553516,7.728066921234131,17973200
2016-02-02,7.611493878917979,7.643980445899396,7.449058857050547,7.477724075317383,11520800
2016-02-03,7.548433845662339,7.707046856130565,7.353512175333874,7.573276996612549,15606800
2016-02-04,7.930629776477838,8.492462081340062,7.930629776477838,8.318561553955078,44855600
2016-02-05,8.272698393724177,8.360603997945741,8.179059308192985,8.26696491241455,19580000
2016-02-08,8.201994558522522,8.456157378804944,8.12746583046591,8.343408584594727,24350000
2016-02-09,8.265055478726904,8.45615502736799,8.24785649018973,8.286076545715332,22306400
2016-02-10,8.36442816784645,8.395004069526788,8.045291510632598,8.077778816223145,17480800
2016-02-11,8.047202778181635,8.079689354234693,7.827437987399587,8.028092384338379,17218000
2016-02-12,8.133200171180464,8.23448273752004,8.00707444987539,8.22492790222168,8656000
2016-02-16,8.36251372367204,8.373979956003643,8.226833254855029,8.3472261428833,10394800
2016-02-17,8.383538073091737,8.588014558119314,8.362517003399496,8.488642692565918,13103200
2016-02-18,8.48863966774902,8.620498792836955,8.419844458252816,8.51539421081543,9177600
2016-02-19,8.44278049537305,8.55170721046107,8.383539356172477,8.532597541809082,9824800
2016-02-22,8.609032815003099,8.723692958865318,8.582279000131281,8.66827392578125,9208800
2016-02-23,8.589925537163575,8.675920486656517,8.49628643016304,8.511574745178223,8860800
2016-02-24,8.438959053969024,8.549797181695702,8.299456421096856,8.50393295288086,9090400
2016-02-25,8.53450513172731,8.612855911254883,8.412201547000059,8.612855911254883,7078000
2016-02-26,8.645344486241601,8.69503005149588,8.580370606147868,8.641522407531738,8676400
2016-02-29,8.647256392334151,8.733251353082956,8.614769812155203,8.654900550842285,15637200
2016-03-01,8.74089344429284,8.987411301486333,8.687385076378185,8.924348831176758,18093200
2016-03-02,8.924348478602393,8.962568531606642,8.794400735780073,8.886128425598145,13175600
2016-03-03,8.874662950929324,9.012254861931728,8.819244634763969,8.98167896270752,9184400
2016-03-04,8.788667815754343,8.907149321724997,8.544059918573387,8.832620620727539,16119200
2016-03-07,8.784846747917358,8.954925234673638,8.758092926942702,8.851731300354004,10357600
2016-03-08,8.844086573081245,8.949191904401628,8.704583994858709,8.899505615234375,13838800
2016-03-09,8.943461269300153,8.998880329094208,8.878487375159189,8.97977066040039,9382400
2016-03-10,8.981681335674919,9.006524488166587,8.861288381739902,8.97977066040039,10850400
2016-03-11,9.029453287583559,9.048562950036597,8.889950710513077,8.954924583435059,9047200
2016-03-14,8.949192597496213,8.996967486710298,8.912883215141855,8.970212936401367,5832800
2016-03-15,8.878485060218615,9.021809725013743,8.63387786557742,8.991233825683594,10262400
2016-03-16,8.90715096362624,9.077229462174323,8.828800170059584,9.061941146850586,12538400
2016-03-17,9.065763807651894,9.40018807246329,9.04665414125749,9.352413177490234,13113200
2016-03-18,9.396365811799994,9.40209929479715,9.272151524662744,9.373434066772461,14474400
2016-03-21,9.369609614862231,9.553065715582271,9.333300967015093,9.530133247375488,10088000
2016-03-22,9.459428710691583,9.526313268566318,9.32948094483181,9.350502014160156,12107200
2016-03-23,9.360059655928271,9.37917005604704,9.29508575349891,9.331395149230957,8530800
2016-03-24,9.304635164462127,9.381075262398168,9.25494961109446,9.344766616821289,7712000
2016-03-28,9.373434243454614,9.373434243454614,9.233931637678136,9.268329620361328,7740400
2016-03-29,9.216731748488959,9.37152265548437,9.184245173001205,9.367700576782227,7650400
2016-03-30,9.41356449315819,9.419297975966744,9.314193358312016,9.350502014160156,9972000
2016-03-31,9.363877296447754,9.379165609294432,9.308458255858865,9.363877296447754,8679600
2016-04-01,9.230109080998629,9.356234767981704,9.090606482440608,9.350502014160156,13098800
2016-04-04,9.31610389042759,9.319925969245691,9.0370986975891,9.052386283874512,13523600
2016-04-05,9.312280583335024,9.312280583335024,8.951102566013613,9.054296493530273,14671200
2016-04-06,9.040916076618373,9.172774446856756,8.815418646480882,9.00269603729248,15527200
