Date,Open,High,Low,Close,Volume
2016-01-04,84.46104683448979,85.0796848131539,84.03468521086997,84.99608612060547,1853500
2016-01-05,85.69834063582402,85.71505782530178,83.56653861067612,84.70349884033203,1589200
2016-01-06,83.45786336676638,84.76202104191034,83.29902136032156,83.85078430175781,1885300
2016-01-07,82.63022987491365,83.6585125934084,81.5935917494183,81.75243377685547,2002700
2016-01-08,81.96141615102762,82.94789610989851,81.36785709466396,81.80257415771484,2541000
2016-01-11,82.23731766076922,82.8392322691758,81.61867310335447,82.29583740234375,2389200
2016-01-12,83.18198668548823,83.60834840313137,82.17878939733438,83.50802612304688,1736500
2016-01-13,84.09323058033056,85.53951327737607,81.55179638527704,81.93635559082031,2652800
2016-01-14,82.12862844995455,83.88422696559915,81.5183520942868,83.42443084716797,1928500
2016-01-15,83.10675315564689,83.42443082163884,80.68235216898763,81.41802978515625,1584700
2016-01-19,82.32925553214788,82.42957141688373,80.782650941972,82.07845306396484,1822000
2016-01-20,80.73248157319495,82.60511890189179,80.25596205362837,81.77748107910156,2844600
2016-01-21,82.13695662857394,82.5883971555771,81.2507991375143,81.89451599121094,1653200
2016-01-22,83.09839144143882,83.34083217812827,81.62702982967696,82.00322723388672,1746800
2016-01-25,81.59357520732176,82.05337762606624,80.25597686848147,80.36465454101562,1400000
2016-01-26,80.69069156179896,82.24565157811199,80.20581656323405,82.04501342773438,1350100
2016-01-27,81.76914070666969,83.29066013052025,81.71062097414361,82.01158142089844,2132200
2016-01-28,82.46304163554832,82.93119960671481,81.85276519144543,82.09519958496094,1815000
2016-01-29,80.89969356811606,83.61669277465903,79.92157538452186,83.5999755859375,3435200
2016-02-01,83.45785540778083,84.41925638248935,82.23729655520644,84.04305267333984,2402500
2016-02-02,81.78585558413839,82.98133545999846,81.74405304613074,82.05337524414062,2462400
2016-02-03,83.03986706240704,86.35878750464661,82.7221830357271,86.35042572021484,2563200
2016-02-04,86.40058073229666,89.44361958835994,86.40058073229666,88.22306060791016,2169200
2016-02-05,87.75488587726242,88.21468186622339,86.67644554376514,87.86356353759766,2021200
2016-02-08,87.37867585552895,87.61276110245132,83.99288128422255,85.21343994140625,2926200
2016-02-09,85.07970806953283,87.11118810680094,84.84562911514361,86.79351043701172,1592800
2016-02-10,87.20316359448577,88.02244645382838,86.10800556472685,86.41732788085938,1107300
2016-02-11,85.05462385497779,86.24174850197656,84.65334749449961,85.3221435546875,1594100
2016-02-12,85.90736770569337,86.90220343708847,85.44756512273923,86.80188751220703,978100
2016-02-16,87.81341789489727,87.81341789489727,86.49253670815122,86.94397735595703,1878700
2016-02-17,87.67126821127718,88.11434691743179,87.21146594366208,87.36194610595703,1449200
2016-02-18,87.20310416293182,87.66290643054693,87.01082785332544,87.36194610595703,995300
2016-02-19,87.28670810015663,87.41210291866086,86.08286681715748,86.36710357666016,1354300
2016-02-22,86.85203291882146,87.82179590697598,86.58451319418803,87.12791442871094,1273100
2016-02-23,86.55105981611351,86.78513874377798,84.93757991822916,85.45590209960938,1294600
2016-02-24,84.36910988475658,85.38903080148835,84.26879397699489,85.1800308227539,1493800
2016-02-25,85.44750506429193,86.03270852020046,84.46938721514155,85.78190612792969,1758900
2016-02-26,86.35876569514365,87.1278838361383,85.639805491727,86.30860137939453,1582100
