Date,Open,High,Low,Close,Volume
2016-01-04,116.4222449327694,116.58333320951284,114.29149550443384,115.93898010253906,5083200
2016-01-05,116.42223130441376,117.30821672278948,115.140854544774,115.81449127197266,2678900
2016-01-06,113.50073690486693,115.63880513066472,113.42019274141084,114.7528305053711,3826900
2016-01-07,112.07289131894868,114.55510116624684,111.94841603725182,112.01431274414062,4162500
2016-01-08,112.1168264886428,113.39088539791234,110.16914187665846,110.3521957397461,4179600
2016-01-11,110.80619467120316,110.99656671633188,105.56352798230732,108.14093017578124,4747400
2016-01-12,108.68274514297902,110.74028015577936,107.57710372108514,110.41077423095705,4410600
2016-01-13,110.66699509913222,111.90444046538803,106.37621395948968,106.50801849365234,3982100
2016-01-14,106.9180858828816,113.71304326849118,105.85637588626498,112.14610290527344,5649000
2016-01-15,108.14088939379748,111.5164026842597,108.14088939379748,110.78418731689452,6213000
2016-01-19,112.35844588764172,113.21513652673258,108.53628077617792,110.78418731689452,4382200
2016-01-20,109.10010860887232,114.84067540053024,108.40450612409836,113.50804901123048,7338600
2016-01-21,113.3103085465399,113.50800978997404,110.00802183175618,111.86784362792967,4674000
2016-01-22,114.5551569870258,114.92859418680676,112.936966363729,114.28424072265624,4577300
2016-01-25,114.35736469024636,115.69000171851586,112.02892571476536,112.3437728881836,4765100
2016-01-26,111.86785942366608,113.661784782903,110.6304137039944,112.6000747680664,3645500
2016-01-27,113.41285908583367,113.41285908583367,109.00491861879824,110.1764678955078,3752300
2016-01-28,110.63775314825416,111.0844049961841,106.4787638010625,108.62416076660156,4246500
2016-01-29,109.39294461742888,112.02892376329925,106.35425605633472,111.83122253417967,7174400
2016-02-01,110.79151709120777,112.55615899345264,109.3490517720955,111.84590911865234,4602200
2016-02-02,110.1837808337776,110.92332560926454,108.71934989329196,109.9128646850586,3881400
2016-02-03,110.19843219969988,110.696333374307,107.68693841014806,110.33755493164062,4530600
2016-02-04,110.19840756305,111.267446864708,108.95364373209765,109.7664031982422,3685200
2016-02-05,109.04880967855478,109.3856336029376,105.21200899442525,106.20049285888672,6451900
2016-02-08,105.07291006875204,105.85638591091612,102.6273133102772,104.70680236816406,4627300
2016-02-09,103.25701884141802,106.63253228249212,103.11057799595493,104.82395935058594,4211100
2016-02-10,106.32502029122212,107.73087274514069,105.40975089366664,106.0321273803711,4273500
2016-02-11,103.78332983222523,105.79618605342898,103.25246788931568,104.29945373535156,4374400
2016-02-12,105.53074860059029,106.88739070452178,104.06350370260516,106.70306396484376,3218000
2016-02-16,108.30304753703642,109.16569555824992,107.41090092939388,108.49474334716795,3371300
2016-02-17,109.34262063068508,111.71674985968318,108.67903763942336,111.3849639892578,3811100
2016-02-18,111.17852876555814,112.33610627222046,109.91773996894013,110.07994842529295,2892100
2016-02-19,109.84397228193303,111.89368444204987,109.3131104454586,110.68450164794922,2796800
2016-02-22,109.65225063883776,110.42642490496104,108.3398456450089,109.5342788696289,4603300
2016-02-23,109.23202367958486,110.38960102876796,108.28090263346574,108.57582092285156,3315200
2016-02-24,107.27816058726684,108.58319703112396,106.10584524383454,108.46522521972656,3316100
2016-02-25,108.64954862765433,109.40897385834192,107.10119958912787,108.19979095458984,3446800
2016-02-26,109.49745600201284,110.2273939653766,108.34725890852695,108.8265151977539,3411500
2016-02-29,108.3546400336852,108.87812169554827,104.85980085631996,104.90403747558594,5193800
2016-03-01,106.39339108328916,109.4532103090972,104.90402795089364,109.40897369384766,4477700
2016-03-02,109.12145256962488,109.58595965029014,107.801677789404,108.74542999267578,3689900
2016-03-03,108.54634937148612,108.5979550169444,107.1454704176658,107.52886199951172,2988900
