Date,Open,High,Low,Close,Volume
2015-05-01,33.817236573009325,34.01952392742172,33.59735857624732,34.01072692871094,562400
2015-05-04,34.01951947897367,34.353734929769494,34.0107224814132,34.14265060424805,761400
2015-05-05,34.098676586815984,34.248191998597626,33.88759225569126,34.18662643432617,802600
2015-05-06,34.12505861277827,34.28337101188199,33.72048397287828,33.984336853027344,999100
2015-05-07,33.42145252770892,33.85241483916617,32.38362820712696,32.51555633544922,2135000
2015-05-08,32.56831710226604,33.25433850813209,32.251692354184925,32.278079986572266,1468800
2015-05-11,32.21651748061689,32.47157334727787,32.102180009655726,32.2868766784668,1370200
2015-05-12,32.181346773974205,32.673874740976835,32.102190553475076,32.48038101196289,831400
2015-05-13,32.54192428419256,32.84095831722308,32.3836119517017,32.53313064575195,1072100
2015-05-14,32.74422042988565,32.946507719769045,32.62108932778887,32.86735153198242,682900
2015-05-15,32.95530471965291,33.09602645850491,32.665064246043265,33.05205154418945,891100
2015-05-18,33.06965242695083,33.1927869347769,32.726643257116066,33.016883850097656,597500
2015-05-19,32.278083643013,32.6650676261323,32.02302441649128,32.33964920043945,4584000
2015-05-20,32.33965210787794,32.506758156620066,32.27808654491655,32.295677185058594,1241400
2015-05-21,32.417265945250186,32.77853459869729,32.399642674192364,32.6904182434082,1017800
2015-05-22,32.60230898904647,32.7344818564933,32.461326165707824,32.62874221801758,398800
2015-05-26,32.54944649254694,32.743299178735015,32.04719486132911,32.091251373291016,1494700
2015-05-27,32.23223337072081,32.531818957367165,32.02956739188975,32.487762451171875,1056200
2015-05-28,32.39083481931376,32.58468747233926,32.302721810463524,32.55825424194336,1153300
2015-05-29,32.5934952945331,32.804967824636385,32.39082935801583,32.6904182434082,2419000
2015-06-01,32.76091244962378,32.8137822646079,32.19698120164134,32.6023063659668,1002000
2015-06-02,32.48775727054697,32.6727999451331,32.382021000280204,32.4965705871582,683200
2015-06-03,32.584695731304755,32.708055319480316,32.399656349041415,32.57588577270508,962700
2015-06-04,32.49658577274291,32.549452251932976,32.0472005318454,32.144126892089844,499700
2015-06-05,32.091244951994994,32.25866436976543,31.870959074967143,32.23223114013672,577900
2015-06-08,32.249857333529604,32.417276783907624,31.862155324515943,32.073631286621094,738800
2015-06-09,32.03837849273758,32.23223114013672,31.800469342192013,32.23223114013672,1178500
2015-06-10,32.26746982190637,32.76091132763947,32.26746982190637,32.6904182434082,1111900
2015-06-11,32.8225979485888,32.945957510454,32.45251926299322,32.487762451171875,710000
2015-06-12,32.39083782504277,32.53182066906324,32.31153476520026,32.355594635009766,295700
2015-06-15,32.34679468600329,32.34679468600329,31.906222696181516,32.241058349609375,785200
2015-06-16,32.117694233850486,32.258677116404215,31.870971668408664,32.10007095336914,662800
2015-06-17,32.10006155871829,32.44370702428802,32.10006155871829,32.33797073364258,1306600
2015-06-18,32.390831497499605,33.05168907999014,32.302718497685724,32.99000930786133,1257000
2015-06-19,32.813787932005546,32.831407845414745,32.382026104969064,32.426082611083984,950100
2015-06-22,32.584695731304755,32.708055319480316,32.41727962753745,32.57588577270508,665500
2015-06-23,32.61992852047219,32.796157869755106,32.60230524941438,32.6904182434082,745600
2015-06-24,32.68160457467185,32.752094289597586,32.09123682585628,32.17053985595703,631000
2015-06-25,32.17936763850659,32.43490011274768,32.117687849730665,32.135311126708984,743500
2015-06-26,32.02957027577581,32.17936644388233,31.033880373187458,31.1043701171875,4658600
2015-06-29,31.03388113328758,31.121994155769812,30.461136403264003,30.46994972229004,1226000
2015-06-30,30.70785230842159,31.01625457709385,30.12629768215778,30.20560073852539,893100
2015-07-01,30.505189155156863,30.70785177092768,30.26727999021827,30.531625747680664,832300
2015-07-02,30.4963867705266,30.725482674408,30.30253406326765,30.355403900146484,556200
2015-07-06,30.108673662475507,30.628548494404065,29.8443312682211,30.064617156982425,1296500
2015-07-07,30.135110407757235,30.311339791919917,29.421382914481537,30.302526473999023,838300
2015-07-08,30.038191369373305,30.09987116460698,29.641675999087713,29.81790542602539,1039800
2015-07-09,30.073433307567424,30.49638185047247,29.57999166019675,29.72978782653809,1234300
2015-07-10,30.135110792143426,30.32015013529133,29.71216228153565,29.9060115814209,695000
2015-07-13,30.17916302681905,30.355392388285853,29.870764165223772,30.293712615966797,1062400
2015-07-14,30.205601029765138,30.8224022117608,30.117488015749764,30.681419372558594,551200
2015-07-15,30.610936313248057,30.822408937549003,30.161551104339217,30.232044219970703,554700
2015-07-16,30.54043041732416,30.54043041732416,30.25846479538623,30.31133460998535,446900
2015-07-17,30.41707710323035,30.443510335292217,30.020561815822138,30.091054916381836,240500
2015-07-20,30.108674084578286,30.223223689502937,29.826708411914503,29.950071334838867,502700
2015-07-21,29.75621479126732,29.958877381966335,29.641665201291172,29.72096824645996,723500
2015-07-22,29.52712150764756,30.170359314296984,29.456631765252126,30.135112762451172,1204800
2015-07-23,30.179168075028844,30.461133756023237,29.985315408859176,30.161544799804688,788600
2015-07-24,30.046994754525254,30.214414186071952,29.57117977557698,29.615236282348633,461200
2015-07-27,29.359701069286594,29.491873938436576,29.086545374981277,29.35089111328125,446600
2015-07-28,29.412574228684484,30.53162700097807,29.2804013445277,30.39945411682129,920700
2015-07-29,30.566868669681806,30.90170416127142,30.170356759528943,30.88408088684082,724200
2015-07-30,31.174865233625447,31.271791579012618,30.62855371622441,31.22773170471191,1356300
2015-07-31,31.38634052530717,31.747609340918544,31.2101110969194,31.659496307373047,1310800
2015-08-03,33.183860232424685,34.36459252013233,33.13099041848125,34.038570404052734,3073000
2015-08-04,34.364592388361565,35.12237624550191,33.81828442488876,34.45270538330078,1886900
2015-08-05,34.673009236175666,35.23694412501828,34.673009236175666,34.9990348815918,1673200
2015-08-06,34.990204701971635,35.25454705798263,34.43508676273718,34.655372619628906,1611400
2015-08-07,34.62894671344758,34.88447919297947,34.16194162839007,34.285301208496094,1089500
2015-08-10,34.602516796650214,34.822802742622294,34.37341753051305,34.620140075683594,1234600
2015-08-11,34.346975598237385,34.74349087287514,34.05619997103365,34.70824432373047,1020600
2015-08-12,34.50556976658771,34.71704562697338,34.14430116612055,34.27647399902344,775900
2015-08-13,33.75661190360055,34.3557898094555,33.65968557158048,34.20599365234375,4952300
2015-08-14,34.60252315182265,34.611333112309005,34.15313785717836,34.52322006225586,1495500
2015-08-17,34.355790996013106,35.078328490740475,34.355790996013106,35.007835388183594,1335800
2015-08-18,35.04308555929063,35.0871420722915,34.75230652315123,34.7611198425293,716900
2015-08-19,34.58489042922934,34.88447942345032,34.38222778038816,34.7611198425293,824300
