ticker,start_date,end_date
NTAP,2000-01-01,2016-12-19
NTAP,2018-12-24,2020-08-24
NTES,2016-03-16,2022-12-19
NUAN,2011-12-19,2013-12-23
NVDA,2000-01-01,
NXPI,2013-12-23,2017-02-07
NXPI,2018-11-05,
ODFL,2022-01-24,
OKTA,2020-12-21,2022-11-21
ON,2023-06-20,2025-12-22
ORCL,2000-01-01,2013-07-15
ORLY,2008-12-22,
PANW,2021-12-20,
PAYX,2000-01-01,
PCAR,2000-01-01,
PDCO,2000-01-01,2010-12-20
PDD,2020-08-24,
PEP,2018-07-23,
PETM,2000-01-01,2008-12-22
PLTR,2024-12-23,
PPDI,2008-12-22,2009-12-21
PRGO,2011-12-06,2013-06-06
PTEN,2000-01-01,2007-12-24
PTON,2020-12-21,2022-01-24
PYPL,2015-11-11,
QCOM,2000-01-01,
QGEN,2009-12-21,2011-12-19
QRTEA,2000-01-01,2018-12-24
REGN,2012-12-24,
RIMM,2000-01-01,2012-12-24
RIVN,2022-12-19,2023-06-20
ROP,2023-12-18,
ROST,2000-01-01,2007-12-24
ROST,2008-12-22,
RYAAY,2007-02-14,2009-12-21
SBAC,2012-12-24,2017-03-20
SBUX,2000-01-01,
SEPR,2000-01-01,2007-12-24
SGEN,2019-12-23,2023-12-14
SHLD,2000-01-01,2013-12-23
SHOP,2025-05-19,
SHPG,2016-10-19,2018-12-24
SIAL,2000-01-01,2015-08-03
SIRI,2000-01-01,2008-12-22
SIRI,2011-07-15,2024-06-24
SMCI,2024-07-22,2024-12-23
SNDK,2000-01-01,2008-12-22
SNDK,2009-12-21,2016-03-16
SNDK,2026-04-20,
SNPS,2017-12-18,
SPLK,2000-01-01,2024-03-18
SPLK,2019-12-23,2022-12-19
SPLS,2000-01-01,2015-12-21
SRCL,2007-12-24,2016-12-19
STLD,2007-12-24,2009-12-21
STRZA,2013-01-15,2013-03-18
STX,2008-11-10,2018-12-24
STX,2025-12-22,
SWKS,2015-08-03,2022-12-19
TCFCA,2000-01-01,2019-03-19
TCFCB,2000-01-01,2019-03-19
TCOM,2000-01-01,2021-12-20
TEAM,2020-12-21,2026-04-20
TEVA,2000-01-01,2012-05-30
TLAB,2000-01-01,2008-05-19
TMUS,2015-12-21,
TRI,2025-07-28,
TRIP,2013-12-23,2017-04-24
TSCO,2013-12-23,2017-12-18
TSLA,2013-07-15,
TTD,2023-07-17,2025-12-22
TTWO,2017-12-18,2023-12-14
TTWO,2023-12-14,
TXN,2012-04-23,
UAL,2018-12-24,2020-06-22
UAUA,2007-03-08,2008-07-21
ULTA,2015-12-21,2020-12-21
URBN,2008-12-22,2011-12-19
VIAB,2012-05-30,2017-12-18
VIP,2013-10-29,2015-12-21
VMED,2007-08-27,2008-12-22
VMED,2009-12-21,2013-06-05
VOD,2009-12-21,2018-12-24
VRSK,2012-12-24,
VRSN,2000-01-01,2012-12-24
VRSN,2018-12-24,2022-12-19
VRTX,2000-01-01,
WBA,2015-03-23,2024-07-22
WBD,2022-12-19,
WCRX,2008-12-22,2012-12-24
WDAY,2017-12-18,
WDC,2012-12-24,2020-10-19
WDC,2025-12-22,
WFM,2000-01-01,2016-12-19
WFMI,2000-01-01,2008-12-22
WMT,2026-01-20,
WTW,2000-01-01,2020-04-30
WYNN,2000-01-01,2015-12-21
WYNN,2017-04-24,2019-12-23
XEL,2018-11-19,
XLNX,2000-01-01,2022-02-22
XMSR,2000-01-01,2007-12-24
XRAY,2000-01-01,2013-12-23
XRAY,2000-01-01,2018-11-19
YHOO,2000-01-01,2017-06-19
ZM,2020-04-30,2023-12-18
ZS,2021-12-20,
